iter	MultiClass
0	0.6725031088
1	0.6555477962
2	0.6419685262
3	0.6270648618
4	0.6140697618
5	0.604308085
6	0.593178367
7	0.5833587241
8	0.5726939331
9	0.5649405777
10	0.5572402886
11	0.549862002
12	0.5416704507
13	0.5349354081
14	0.5279809833
15	0.5221481181
16	0.5165678423
17	0.5102192618
18	0.5051900124
19	0.5003866379
20	0.4959179741
21	0.4911550696
22	0.4860848314
23	0.4817329586
24	0.4776328557
25	0.4736431394
26	0.4700054171
27	0.4658028038
28	0.4622252796
29	0.4588664661
30	0.4553676084
31	0.452085166
32	0.4491153543
33	0.4462828944
34	0.4437784618
35	0.4410107426
36	0.4388602196
37	0.4359444861
38	0.4333568182
39	0.430695702
40	0.4284760594
41	0.4257812085
42	0.423518482
43	0.4214877808
44	0.4194873355
45	0.417636968
46	0.4155821487
47	0.4137713835
48	0.4122327096
49	0.4105106406
50	0.4085975509
51	0.4068223428
52	0.4047011476
53	0.4028242114
54	0.4012468664
55	0.3991661867
56	0.3974535427
57	0.3958266022
58	0.3946597297
59	0.3934087809
60	0.3916608857
61	0.3902275531
62	0.3884594121
63	0.3870168632
64	0.3852710841
65	0.3841411548
66	0.3828912193
67	0.3815695208
68	0.3800304269
69	0.3791458547
70	0.3781093623
71	0.3766676812
72	0.375631198
73	0.3743700433
74	0.3734262489
75	0.3722508251
76	0.3711447827
77	0.3699562193
78	0.3690259421
79	0.3680755139
80	0.3671356657
81	0.3663155198
82	0.3651940605
83	0.3643161714
84	0.3632674096
85	0.3622976374
86	0.3613292759
87	0.3602281933
88	0.3591466152
89	0.3582706216
90	0.3573350324
91	0.3561943393
92	0.3554091418
93	0.3545061661
94	0.3535638128
95	0.3529079394
96	0.352162973
97	0.3513613825
98	0.3503786471
99	0.3495021141
100	0.3485480707
101	0.3478558121
102	0.3470272397
103	0.3463184942
104	0.3456040545
105	0.3448909744
106	0.3442048224
107	0.3432154073
108	0.34224697
109	0.3414986068
110	0.3407644071
111	0.3400513852
112	0.3394110257
113	0.338557729
114	0.3379371455
115	0.3370627772
116	0.3365234643
117	0.3359966726
118	0.335289012
119	0.3346212121
120	0.3340004278
121	0.3335646575
122	0.3326513407
123	0.3320032242
124	0.3313620229
125	0.3307396037
126	0.3303056053
127	0.3296757969
128	0.3290144789
129	0.3282650834
130	0.3276993178
131	0.3271227276
132	0.3264624266
133	0.325938773
134	0.3253281739
135	0.3247826405
136	0.3241114407
137	0.3236516033
138	0.3231473873
139	0.3227450239
140	0.3222103432
141	0.3216621288
142	0.3211582417
143	0.3207082648
144	0.3202254722
145	0.3196966528
146	0.3191083987
147	0.3185519034
148	0.31789861
149	0.3171998235
150	0.3167444115
151	0.3162275031
152	0.3156611719
153	0.3152722208
154	0.3149002796
155	0.3143055405
156	0.3137598826
157	0.3132435503
158	0.3128368293
159	0.3123844938
160	0.3118049582
161	0.31143654
162	0.3108908478
163	0.3104964521
164	0.310072116
165	0.3097058093
166	0.3091544681
167	0.3086003799
168	0.3079246778
169	0.3075249946
170	0.307024597
171	0.3065659236
172	0.3060643702
173	0.3055631599
174	0.3050529137
175	0.3045684203
176	0.304033132
177	0.3036345364
178	0.3030947377
179	0.3026433847
180	0.3020835965
181	0.3016503111
182	0.3013971773
183	0.3008942845
184	0.3002691162
185	0.2998290974
186	0.2994555562
187	0.2991611103
188	0.2988278345
189	0.2984650467
190	0.2979110887
191	0.2975521378
192	0.2971082368
193	0.2966356101
194	0.2963620029
195	0.2961229093
196	0.2957819296
197	0.2952833708
198	0.2949341735
199	0.2945697079
200	0.2940851404
201	0.2937683617
202	0.2933802964
203	0.2930450905
204	0.2927267747
205	0.2924315403
206	0.2920998686
207	0.2916890288
208	0.2911883263
209	0.2909217485
210	0.2904509603
211	0.2900072224
212	0.2896260264
213	0.2893140432
214	0.2889209552
215	0.2885830543
216	0.2882071232
217	0.2878896314
218	0.2875352222
219	0.2871839222
220	0.286684297
221	0.2863361431
222	0.285964012
223	0.2855189586
224	0.2852742798
225	0.2849085785
226	0.2845708316
227	0.2843117216
228	0.2839995209
229	0.2837020918
230	0.2834951215
231	0.2831418218
232	0.2827773758
233	0.2823934289
234	0.2821749199
235	0.2818524319
236	0.2816826804
237	0.281358476
238	0.2809793558
239	0.2806362527
240	0.2803684321
241	0.2800848345
242	0.2797529431
243	0.2793495077
244	0.2790257829
245	0.2787589924
246	0.2783485938
247	0.2780278093
248	0.2778299016
249	0.2775426313
250	0.2772284697
251	0.2769985395
252	0.276734878
253	0.2763683187
254	0.276126475
255	0.2758757603
256	0.2756187292
257	0.27543845
258	0.2751265983
259	0.2747654277
260	0.2744298783
261	0.2741931493
262	0.2739950887
263	0.2738129413
264	0.2734798624
265	0.2732480574
266	0.2729349196
267	0.2725398429
268	0.2722629391
269	0.2720379722
270	0.271713889
271	0.2715394839
272	0.2713339643
273	0.2710998993
274	0.2708821518
275	0.2706411396
276	0.2704019993
277	0.2699798258
278	0.2697018777
279	0.2694116042
280	0.2691668593
281	0.2688502033
282	0.2686262294
283	0.2682953533
284	0.2680937976
285	0.2678442217
286	0.267495873
287	0.2672182896
288	0.2670435049
289	0.2667729869
290	0.2665931804
291	0.2663169285
292	0.2660269553
293	0.2656989185
294	0.2654610727
295	0.2652237961
296	0.2649242972
297	0.2647338516
298	0.2644617939
299	0.2641235389
300	0.2637066736
301	0.2634714766
302	0.2631785615
303	0.2629017472
304	0.2626858329
305	0.2624460132
306	0.262232255
307	0.2620233583
308	0.261754522
309	0.2615108488
310	0.2612234476
311	0.2609663994
312	0.2606526419
313	0.2604344277
314	0.2602508414
315	0.2599980023
316	0.2597504556
317	0.2595619963
318	0.2593679488
319	0.2591718405
320	0.2589916612
321	0.2587220653
322	0.2584648922
323	0.2582911763
324	0.2581314088
325	0.2578443359
326	0.257680459
327	0.2575484809
328	0.2572816715
329	0.257096353
