iter	Passed	Remaining
0	5	5413
1	11	5591
2	17	5665
3	22	5606
4	27	5559
5	33	5545
6	38	5507
7	44	5510
8	49	5445
9	55	5447
10	60	5415
11	65	5428
12	71	5401
13	77	5425
14	81	5379
15	87	5352
16	91	5309
17	96	5272
18	101	5242
19	107	5248
20	112	5223
21	117	5213
22	122	5196
23	127	5181
24	132	5173
25	137	5163
26	142	5145
27	147	5130
28	152	5111
29	157	5099
30	162	5085
31	167	5073
32	173	5077
33	178	5071
34	184	5073
35	189	5062
36	194	5053
37	199	5056
38	205	5074
39	212	5091
40	218	5101
41	223	5108
42	229	5096
43	234	5089
44	239	5090
45	245	5086
46	250	5076
47	255	5059
48	260	5052
49	265	5044
50	270	5037
51	275	5027
52	280	5018
53	285	5005
54	290	4999
55	296	4991
56	301	4980
57	306	4970
58	310	4959
59	315	4949
60	321	4941
61	326	4934
62	331	4924
63	336	4915
64	341	4905
65	345	4896
66	350	4885
67	356	4884
68	361	4877
69	366	4868
70	371	4859
71	376	4848
72	380	4836
73	386	4835
74	391	4829
75	396	4821
76	401	4812
77	406	4802
78	411	4800
79	417	4805
80	422	4798
81	427	4789
82	433	4784
83	438	4785
84	443	4777
85	448	4770
86	453	4763
87	458	4754
88	465	4759
89	470	4760
90	476	4759
91	481	4751
92	486	4749
93	492	4745
94	497	4736
95	502	4734
96	508	4731
97	513	4722
98	519	4725
99	524	4722
100	530	4721
101	536	4719
102	541	4717
103	546	4712
104	552	4706
105	557	4701
106	562	4695
107	567	4687
108	573	4688
109	578	4682
110	583	4676
111	589	4671
112	594	4662
113	599	4659
114	605	4656
115	610	4653
116	616	4652
117	622	4656
118	628	4652
119	636	4668
120	643	4676
121	649	4677
122	654	4670
123	661	4670
124	667	4672
125	673	4670
126	678	4663
127	683	4659
128	689	4652
129	694	4646
130	699	4641
131	705	4636
132	710	4629
133	715	4626
134	721	4621
135	725	4611
136	731	4609
137	737	4607
138	742	4601
139	748	4596
140	753	4589
141	758	4583
142	763	4577
143	768	4570
144	773	4562
145	779	4559
146	784	4552
147	789	4544
148	794	4536
149	799	4532
150	805	4526
151	810	4522
152	816	4518
153	821	4511
154	827	4508
155	833	4508
156	839	4507
157	844	4500
158	850	4497
159	855	4492
160	861	4490
161	866	4482
162	871	4475
163	876	4468
164	881	4462
165	886	4454
166	891	4447
167	897	4443
168	902	4438
169	907	4430
170	912	4422
171	916	4414
172	922	4408
173	927	4401
174	932	4394
175	937	4390
176	942	4384
177	947	4377
178	952	4370
179	957	4363
180	962	4356
181	967	4350
182	972	4343
183	977	4336
184	982	4329
185	988	4324
186	993	4319
187	999	4315
188	1004	4310
189	1009	4303
190	1015	4301
191	1020	4295
192	1026	4290
193	1031	4284
194	1036	4280
195	1042	4275
196	1047	4270
197	1052	4262
198	1057	4255
199	1062	4248
200	1066	4241
201	1072	4236
202	1077	4229
203	1082	4223
204	1087	4217
205	1092	4211
206	1098	4206
207	1103	4200
208	1107	4193
209	1112	4186
210	1118	4180
211	1123	4174
212	1128	4170
213	1133	4164
214	1138	4158
215	1144	4153
216	1149	4146
217	1155	4143
218	1161	4140
219	1167	4137
220	1172	4131
221	1177	4126
222	1182	4121
223	1187	4115
224	1193	4111
225	1199	4108
226	1205	4105
227	1211	4102
228	1217	4097
229	1222	4091
230	1227	4086
231	1232	4079
